,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
6516,1.4563,859,180038.9,180038.9032965707,109647.87,109647.8711843243,1,28.26,28.261,2009-12-01,1907.07,1907.07201877,1007.72,1007.7223,1641916.84,1641916.843,1.0611,54,857.25,857.2522699541,857.25,857.2522699541,2,21.6,21.604,2009-12-01,7.38,7.37650725,6.03,6.0334,13108.83,13108.8258,1.4521,913,180896.16,180896.1555665248,110505.12,110505.1234542784,12,28.22,28.222,2009-12-01,1914.45,1914.44852602,1013.76,1013.7557,1655025.67,1655025.6688,2009-12-01
6517,0.7481,1073,250521.87,250521.8671403704,217047.26,217047.2606629486,1,15.04,15.041,2016-01-19,2222.19,2222.18764968,1130.93,1130.9257,2047462.71,2047462.7106,0.8934,52,1102.39,1102.3896289199,1102.39,1102.3896289199,2,22.79,22.793,2016-01-19,9.79,9.78667913,6.31,6.3071,13075.65,13075.6487,0.7489,1125,251624.26,251624.2567692903,218149.65,218149.6502918685,12,15.06,15.063,2016-01-19,2240.55,2240.54672221,1137.29,1137.2911,2078279.7,2078279.7042,2016-01-19
6518,1.6527,847,250654.14,250654.1439546251,57021.96,57021.957506701,1,55.51,55.511,2007-12-14,810.8,810.79621984,535.05,535.0478,525855.9,525855.8999,0.4049,54,1314.27,1314.2685272725,1314.27,1314.2685272725,2,57.72,57.724,2007-12-14,5.5,5.49712266,3.55,3.5467,4671.38,4671.3795,1.609,901,251968.41,251968.4124818976,58336.23,58336.2260339735,12,55.52,55.521,2007-12-14,816.29,816.2933425,538.59,538.5945,530527.28,530527.2794,2007-12-14
6519,,,,,,,1,,,2007-03-11,,,,,,,,,,,,,2,,,2007-03-11,,,,,,,,,,,,,12,,,2007-03-11,,,,,,,2007-03-11
6520,,,,,,,1,,,2013-06-02,,,,,,,,,,,,,2,,,2013-06-02,,,,,,,,,,,,,12,,,2013-06-02,,,,,,,2013-06-02
6521,0.965,575,26066.1,26066.1020975329,7962.16,7962.1587889502,1,56.61,56.606,2001-02-09,75.93,75.92831924,75.6,75.6022,56379.58,56379.5767,0.5209,55,295.97,295.9735024358,295.97,295.9735024358,2,22.43,22.433,2001-02-09,1.56,1.55652139,0.66,0.6575,4431,4430.9996,0.9086,630,26362.08,26362.0755999687,8258.13,8258.132291386,12,55.7,55.702,2001-02-09,77.48,77.48484063,76.26,76.2597,60810.58,60810.5763,2001-02-09
6522,1.6522,639,23990.77,23990.7666734141,6782.37,6782.3652585863,1,33.53,33.531,2002-01-24,109.96,109.95915514,129.08,129.0799,124057.66,124057.661,1.3943,54,524.78,524.7759603079,524.78,524.7759603079,2,34.97,34.968,2002-01-24,7.36,7.35769409,5.77,5.7727,12643.36,12643.3633,1.6244,693,24515.54,24515.542633722,7307.14,7307.1412188942,12,33.56,33.56,2002-01-24,117.32,117.31684923,134.85,134.8526,136701.02,136701.0243,2002-01-24
6523,,,,,,,1,,,2013-12-22,,,,,,,,,,,,,2,,,2013-12-22,,,,,,,,,,,,,12,,,2013-12-22,,,,,,,2013-12-22
6524,0.2851,944,144105.35,144105.3468872678,130228.11,130228.1146810898,1,10.52,10.516,2014-01-15,577.62,577.62390395,295.56,295.5596,674215.33,674215.3323,0.0873,53,732.38,732.3798001611,732.38,732.3798001611,2,11.24,11.241,2014-01-15,0.73,0.72941435,0.76,0.7615,1280.59,1280.5903,0.2839,997,144837.73,144837.7266874289,130960.49,130960.4944812509,12,10.52,10.519,2014-01-15,583.53,583.53006584,296.33,296.3271,688135.21,688135.2119,2014-01-15
6525,,,,,,,1,,,2006-09-17,,,,,,,,,,,,,2,,,2006-09-17,,,,,,,,,,,,,12,,,2006-09-17,,,,,,,2006-09-17
6526,,,,,,,1,,,2001-08-18,,,,,,,,,,,,,2,,,2001-08-18,,,,,,,,,,,,,12,,,2001-08-18,,,,,,,2001-08-18
6527,,,,,,,1,,,2001-05-26,,,,,,,,,,,,,2,,,2001-05-26,,,,,,,,,,,,,12,,,2001-05-26,,,,,,,2001-05-26
6528,-,377,,,,,1,,,1998-02-13,43.95,43.94862922,58.06,58.0619,37190.35,37190.35,-,48,,,,,2,,,1998-02-13,0.58,0.57708382,0.22,0.2234,2259.57,2259.5665,-,425,,,,,12,,,1998-02-13,44.53,44.52571304,58.29,58.2853,39449.92,39449.9165,1998-02-13
6529,,,,,,,1,,,2000-10-05,,,,,,,,,,,,,2,,,2000-10-05,,,,,,,,,,,,,12,,,2000-10-05,,,,,,,2000-10-05
6530,,,,,,,1,,,2004-12-04,,,,,,,,,,,,,2,,,2004-12-04,,,,,,,,,,,,,12,,,2004-12-04,,,,,,,2004-12-04
6531,1.0328,1062,295423.39,295423.3899819763,255754.52,255754.5183860447,1,17.76,17.755,2015-12-03,3383.97,3383.97213559,1420.17,1420.1678,2805830.71,2805830.7139,0.6746,52,1118.61,1118.6115027911,1118.61,1118.6115027911,2,23.76,23.755,2015-12-03,8.18,8.1793274,4.83,4.8286,9872.95,9872.948,1.0309,1114,296542,296542.0014847674,256873.13,256873.1298888358,12,17.77,17.772,2015-12-03,3413.67,3413.67282015,1425.05,1425.054,2841827.05,2841827.0512,2015-12-03
6532,0.6381,950,154260.46,154260.4591715125,138279.34,138279.3380490913,1,11.17,11.168,2014-02-19,1282.17,1282.17225317,629.85,629.853,1515987.36,1515987.3633,0.219,53,724.15,724.1461952547,724.15,724.1461952547,2,11.02,11.021,2014-02-19,1.63,1.62739169,1.54,1.5381,3212.09,3212.0926,0.6355,1003,154984.61,154984.6053667672,139003.48,139003.484244346,12,11.17,11.167,2014-02-19,1285.31,1285.31497631,631.4,631.3957,1521142,1521142.0014,2014-02-19
6533,0.9879,998,234156.74,234156.7424358008,210401.86,210401.8599179425,1,15.29,15.292,2015-02-06,2671.14,2671.14291144,1038.78,1038.7772,2471975.7,2471975.7014,0.2488,53,868.16,868.1611509825,868.16,868.1611509825,2,15.65,15.652,2015-02-06,2.27,2.26833919,1.92,1.9197,3758.07,3758.0686,0.9834,1051,235024.9,235024.9035867833,211270.02,211270.021068925,12,15.29,15.293,2015-02-06,2704.15,2704.15461715,1041.98,1041.9806,2517986.47,2517986.4695,2015-02-06
6534,,,,,,,1,,,2007-02-25,,,,,,,,,,,,,2,,,2007-02-25,,,,,,,,,,,,,12,,,2007-02-25,,,,,,,2007-02-25
6535,1.198,824,23363.32,23363.3244693188,6607.5,6607.5034006189,1,16.73,16.733,2005-10-13,85.47,85.46988916,90.85,90.8495,167068.45,167068.4544,0.1917,54,254.6,254.601091564,254.6,254.601091564,2,13.22,13.222,2005-10-13,0.54,0.53504573,0.66,0.661,1983.94,1983.9369,1.1285,878,23617.93,23617.9255608828,6862.1,6862.1044921829,12,16.68,16.685,2005-10-13,86,86.00493489,91.51,91.5105,169052.39,169052.3913,2005-10-13
