date,AGSZBHXS,close,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,tdate,zdf,zdf10,zdf3,zdf5
2011-01-27,14122286000000.0,2749.15,SH,869980.0,7260955.0,1863526.0,4032806.0,507720.0,534598.0,419854.0,859045.0,1377700.0,7795553.0,2283380.0,4891851.0,12945773.0,1315956.0,616393560.0,3995109679.0,1180117638.0,2139117776.0,79300450.0,675066272.0,251258167.0,342447688.0,695694010.0,4670175951.0,1431375805.0,2481565464.0,9442041358.0,9416149812.0,9429095585.0,0.06676748782031465,2011-01-27T00:00:00,1.4890649561025602,-2.7783229769074858,1.98203077470954,2.670175213209185
2011-01-28,14144001000000.0,2752.75,SH,553200.0,7311745.0,1849115.0,3325775.0,-38200.0,574898.0,587985.0,723176.0,515000.0,7886643.0,2437100.0,4048951.0,12840273.0,1277756.0,407237142.0,4038172578.0,1283417343.0,2022081762.0,40407248.0,700009037.0,249440477.0,366630560.0,447644390.0,4738181615.0,1532857820.0,2388712322.0,9482343106.0,9456662560.0,9469502833.0,0.0669506657486803,2011-01-28T00:00:00,0.13094956622956186,-1.3826314492230267,2.81306864189268,1.3794454670470306
2011-01-31,14326527000000.0,2790.6940000000004,SH,738951.0,7317419.0,2162131.0,3155677.0,250649.0,718432.0,720169.0,632303.0,989600.0,8035851.0,2882300.0,3787980.0,15715553.0,1528405.0,517956836.0,4164818415.0,1541587538.0,2105311616.0,114408035.0,762509927.0,234115733.0,406073450.0,632364871.0,4927328342.0,1775703271.0,2511385066.0,9599626421.0,9568195315.0,9583910868.0,0.06689626081743329,2011-01-31T00:00:00,1.3784034147670512,3.104712080571627,3.0227250745160057,3.523140385499978
2011-02-01,14462962000000.0,2798.96,SH,1240300.0,7820472.0,2532451.0,3828366.0,-567200.0,372979.0,-354751.0,271434.0,673100.0,8193451.0,2177700.0,4099800.0,12960401.0,961205.0,573851785.0,4494021905.0,1499045763.0,2375225964.0,-181456856.0,420696442.0,-26641573.0,182391656.0,392394929.0,4914718347.0,1472404190.0,2557617620.0,9415414413.0,9389493611.0,9402454012.0,0.06501056984039645,2011-02-01T00:00:00,0.29619872332831904,3.32158351910443,1.8118327483040213,4.538976153269252
2011-02-09,14327091000000.0,2774.065,SH,820120.0,8075677.0,2799371.0,4222551.0,38708.0,444302.0,-277843.0,191677.0,858828.0,8519979.0,2521528.0,4414228.0,12714493.0,999913.0,342405492.0,4479726923.0,1434214113.0,2457844815.0,187055895.0,501532082.0,120007074.0,239714772.0,529461387.0,4981259005.0,1554221187.0,2697559587.0,9602224400.0,9576795414.0,9589509907.0,0.06693270746308515,2011-02-09T00:00:00,-0.8894375053591334,0.5789499064028567,0.7743165924984107,2.408840178764581
2011-02-10,14561927000000.0,2818.163,SH,338149.0,7723526.0,2398569.0,3690720.0,92660.0,635662.0,-435832.0,-223383.0,430809.0,8359188.0,1962737.0,3467337.0,13778369.0,1092573.0,340091629.0,4320660660.0,1256348906.0,2181542884.0,151404186.0,654266196.0,157003225.0,311818508.0,491495815.0,4974926856.0,1413352131.0,2493361392.0,9754692462.0,9727135724.0,9740914093.0,0.0668930292879507,2011-02-10T00:00:00,1.5896527298387024,5.2475452373945535,0.9843071293377202,2.510339559500209
2011-02-11,14613408000000.0,2827.328,SH,412370.0,6875665.0,1570639.0,3549890.0,-228800.0,309193.0,-97432.0,-413983.0,183570.0,7184858.0,1473207.0,3135907.0,10218163.0,863773.0,482242730.0,4278630234.0,1164739851.0,2256548472.0,30262391.0,668304211.0,368722472.0,301673651.0,512505121.0,4946934445.0,1533462323.0,2558222123.0,9781394647.0,9760958321.0,9771176484.0,0.06686446093888572,2011-02-11T00:00:00,0.3252118489952497,4.126035707367231,1.013519307171235,2.7092180546726
2011-02-14,14992341000000.0,2899.134,SH,360000.0,6326616.0,1110519.0,3170939.0,535000.0,502671.0,398860.0,-129632.0,895000.0,6829287.0,1509379.0,3041307.0,17152769.0,1398773.0,970857835.0,4814761087.0,1793192194.0,2709449471.0,-55475107.0,537863959.0,126191470.0,131790509.0,915382728.0,5352625046.0,1919383664.0,2841239980.0,9732854146.0,9698548608.0,9715701377.0,0.06480443165613696,2011-02-14T00:00:00,2.5397124069085724,7.545813363405695,4.508510074565664,3.8857717829328484
2011-02-15,14995127000000.0,2899.237,SH,855300.0,6614305.0,1627670.0,2785939.0,-124500.0,584502.0,181700.0,313068.0,730800.0,7198807.0,1809370.0,3099007.0,14779112.0,1274273.0,979683358.0,5490507008.0,2432783923.0,3115281044.0,-119466695.0,376172326.0,-144679411.0,193780670.0,860216663.0,5866679334.0,2288104512.0,3309061714.0,9611013794.0,9581455570.0,9596234682.0,0.063995687945824,2011-02-15T00:00:00,0.0035527850730597476,8.284244006943966,2.8768385646962225,3.5826521279332324
2011-02-16,15120497000000.0,2923.896,SH,452220.0,6640590.0,1667520.0,2418039.0,-75220.0,390817.0,335280.0,199140.0,377000.0,7031407.0,2002800.0,2617179.0,13686326.0,1199053.0,651037029.0,5881757396.0,2601578222.0,3423912581.0,196420148.0,442859695.0,21478346.0,203144923.0,847457177.0,6324617091.0,2623056568.0,3627057504.0,9806341156.0,9778968504.0,9792654830.0,0.06476410682797,2011-02-16T00:00:00,0.8505341232882997,7.940080049793009,3.4155216515381306,5.401135157251182
2011-02-17,15127397000000.0,2926.9640000000004,SH,611232.0,6381842.0,1918752.0,2691122.0,-24990.0,-141893.0,-224710.0,81490.0,586242.0,6239949.0,1694042.0,2772612.0,12102813.0,1174063.0,715287231.0,5980651067.0,2346007618.0,3799108183.0,239766929.0,603326174.0,316720382.0,291507666.0,955054160.0,6583977241.0,2662728000.0,4090615849.0,10044524572.0,10020318946.0,10032421759.0,0.06631955093794392,2011-02-17T00:00:00,0.1049284926686859,6.467962824873142,0.9599418309053668,3.860706424717094
2011-02-18,14991083000000.0,2899.792,SH,551823.0,6380465.0,1615275.0,2830575.0,-34723.0,-138416.0,-134933.0,275567.0,517100.0,6242049.0,1480342.0,3106142.0,11894180.0,1139340.0,521980263.0,6095394188.0,1888304523.0,3838845716.0,125307205.0,688226131.0,561494282.0,386552480.0,647287468.0,6783620319.0,2449798805.0,4225398196.0,10169623144.0,10145834784.0,10157728964.0,0.06775847324706294,2011-02-18T00:00:00,-0.9283339323613136,5.341640178003813,0.01914296761527257,2.5629852638250674
2011-02-21,15179228000000.0,2932.246,SH,767154.0,6408668.0,1930209.0,3237729.0,-119196.0,-508261.0,-178909.0,-378629.0,647958.0,5900407.0,1751300.0,2859100.0,11621281.0,1020144.0,609822040.0,6187259392.0,1847089534.0,3477809921.0,157848858.0,731666954.0,522922992.0,599876445.0,767670898.0,6918926346.0,2370012526.0,4077686366.0,10327199103.0,10303956541.0,10315577822.0,0.06795851424064517,2011-02-21T00:00:00,1.1191837207634203,5.0722866785107925,0.2855778728107977,1.1421341683413049
2011-02-22,14800308000000.0,2855.516,SH,1577750.0,6746118.0,2896727.0,3960179.0,411157.0,470096.0,257238.0,157028.0,1988907.0,7216214.0,3153965.0,4117207.0,15915330.0,1431301.0,792200103.0,6405607710.0,1924002406.0,3290326666.0,209695171.0,1122818981.0,492851234.0,929038311.0,1001895274.0,7528426691.0,2416853640.0,4219364977.0,10541188323.0,10509357663.0,10525272993.0,0.07111522944657638,2011-02-22T00:00:00,-2.61676544191722,2.0206076542715867,-2.441027631361369,-1.5080174542474452
2011-02-23,14825898000000.0,2862.634,SH,1705149.0,7631147.0,4050053.0,5213108.0,-459258.0,-27870.0,-167297.0,-227010.0,1245891.0,7603277.0,3882756.0,4986098.0,14897624.0,972043.0,553115903.0,6616318121.0,1955138046.0,3192405540.0,94310462.0,1030073548.0,461854491.0,826928625.0,647426365.0,7646391669.0,2416992537.0,4019334165.0,10634481079.0,10604685831.0,10619583455.0,0.07162860188974725,2011-02-23T00:00:00,0.2492719354400396,3.192751431563428,-1.2814022522994752,-2.095218160974262
2011-02-24,14904749000000.0,2878.603,SH,1469501.0,8762499.0,4752400.0,6071377.0,336554.0,216024.0,288453.0,134534.0,1806055.0,8978523.0,5040853.0,6205911.0,17262748.0,1308597.0,617534639.0,6893761131.0,1962850645.0,3094652948.0,177036338.0,1055705700.0,481041971.0,764198034.0,794570977.0,7949466831.0,2443892616.0,3858850982.0,10813882541.0,10779357045.0,10796619793.0,0.07243744791005874,2011-02-24T00:00:00,0.5578428817655349,2.1446594820810576,-1.8294167678973727,-1.6522581077184413
