,range
002398,2.8
000557,2.8
300102,2.8
000793,2.8
002369,2.8
600691,2.8
603616,2.8
002712,2.8
600579,2.8
601599,2.8
600382,2.8
600558,2.8
300490,2.8
603630,2.8
600699,2.8
000878,2.8
600618,2.7
002249,2.7
600605,2.7
002267,2.7
002275,2.7
002259,2.7
600355,2.7
300539,2.7
002836,2.7
600395,2.7
002247,2.7
600497,2.7
600657,2.7
002354,2.7
002218,2.7
600376,2.7
600673,2.7
300547,2.7
300026,2.7
600388,2.7
600683,2.7
300527,2.7
002849,2.7
600692,2.7
600420,2.7
002436,2.7
600717,2.7
002125,2.7
600329,2.7
600429,2.7
002443,2.7
002139,2.7
002342,2.7
300536,2.7
002105,2.7
002407,2.7
002217,2.7
600496,2.7
600366,2.7
600638,2.7
600350,2.7
600639,2.7
300549,2.7
600403,2.7
002828,2.7
600642,2.7
002206,2.7
600787,2.7
600368,2.7
600390,2.7
600735,2.7
002196,2.7
600551,2.7
603878,2.7
600812,2.7
300592,2.7
300396,2.7
002591,2.7
600153,2.7
000669,2.7
002598,2.7
603033,2.7
002791,2.7
600814,2.7
002603,2.7
000657,2.7
002605,2.7
002789,2.7
600131,2.7
000598,2.7
000585,2.7
000688,2.7
603002,2.7
600160,2.7
000783,2.7
002541,2.7
002554,2.7
601588,2.7
600188,2.7
000788,2.7
600184,2.7
601788,2.7
601966,2.7
002567,2.7
300107,2.7
600165,2.7
601901,2.7
601965,2.7
000716,2.7
000581,2.7
300342,2.7
601311,2.7
000567,2.7
600067,2.7
600059,2.7
600057,2.7
000039,2.7
603609,2.7
300157,2.7
000018,2.7
600038,2.7
603665,2.7
603667,2.7
603678,2.7
600033,2.7
300221,2.7
300215,2.7
